# 补充IP列表 - 原文件: 新疆电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 238.125.0.x =====
# 已有IP: 113 个, 缺失IP: 141 个
# 规律: 固定端口 5140

3-201,rtp://238.125.3.201:5140
3-202,rtp://238.125.3.202:5140
3-203,rtp://238.125.3.203:5140
3-204,rtp://238.125.3.204:5140
3-205,rtp://238.125.3.205:5140
3-206,rtp://238.125.3.206:5140
3-207,rtp://238.125.3.207:5140
3-208,rtp://238.125.3.208:5140
3-210,rtp://238.125.3.210:5140
3-211,rtp://238.125.3.211:5140
3-217,rtp://238.125.3.217:5140
3-218,rtp://238.125.3.218:5140
3-219,rtp://238.125.3.219:5140
3-220,rtp://238.125.3.220:5140
3-227,rtp://238.125.3.227:5140
3-230,rtp://238.125.3.230:5140
3-231,rtp://238.125.3.231:5140
3-234,rtp://238.125.3.234:5140
3-235,rtp://238.125.3.235:5140
3-236,rtp://238.125.3.236:5140
3-237,rtp://238.125.3.237:5140
3-246,rtp://238.125.3.246:5140
3-247,rtp://238.125.3.247:5140
3-249,rtp://238.125.3.249:5140
3-254,rtp://238.125.3.254:5140

# ===== 网段: 238.125.4.x =====
# 已有IP: 125 个, 缺失IP: 129 个
# 规律: 固定端口 5140

4-36,rtp://238.125.4.36:5140
4-49,rtp://238.125.4.49:5140
4-51,rtp://238.125.4.51:5140
4-55,rtp://238.125.4.55:5140
4-56,rtp://238.125.4.56:5140
4-57,rtp://238.125.4.57:5140
4-59,rtp://238.125.4.59:5140
4-60,rtp://238.125.4.60:5140
4-61,rtp://238.125.4.61:5140
4-62,rtp://238.125.4.62:5140
4-63,rtp://238.125.4.63:5140
4-64,rtp://238.125.4.64:5140
4-66,rtp://238.125.4.66:5140
4-67,rtp://238.125.4.67:5140
4-68,rtp://238.125.4.68:5140
4-69,rtp://238.125.4.69:5140
4-70,rtp://238.125.4.70:5140
4-78,rtp://238.125.4.78:5140
4-85,rtp://238.125.4.85:5140
4-86,rtp://238.125.4.86:5140
4-87,rtp://238.125.4.87:5140
4-88,rtp://238.125.4.88:5140
4-89,rtp://238.125.4.89:5140
4-90,rtp://238.125.4.90:5140
4-91,rtp://238.125.4.91:5140
4-92,rtp://238.125.4.92:5140
4-93,rtp://238.125.4.93:5140
4-94,rtp://238.125.4.94:5140
4-95,rtp://238.125.4.95:5140
4-96,rtp://238.125.4.96:5140
4-97,rtp://238.125.4.97:5140
4-99,rtp://238.125.4.99:5140
4-100,rtp://238.125.4.100:5140
4-102,rtp://238.125.4.102:5140
4-105,rtp://238.125.4.105:5140
4-107,rtp://238.125.4.107:5140
4-108,rtp://238.125.4.108:5140
4-109,rtp://238.125.4.109:5140
4-110,rtp://238.125.4.110:5140
4-111,rtp://238.125.4.111:5140
4-112,rtp://238.125.4.112:5140
4-113,rtp://238.125.4.113:5140
4-114,rtp://238.125.4.114:5140
4-115,rtp://238.125.4.115:5140
4-116,rtp://238.125.4.116:5140
4-117,rtp://238.125.4.117:5140
4-118,rtp://238.125.4.118:5140
4-119,rtp://238.125.4.119:5140
4-120,rtp://238.125.4.120:5140
4-121,rtp://238.125.4.121:5140
4-122,rtp://238.125.4.122:5140
4-123,rtp://238.125.4.123:5140
4-124,rtp://238.125.4.124:5140
4-125,rtp://238.125.4.125:5140
4-126,rtp://238.125.4.126:5140
4-127,rtp://238.125.4.127:5140
4-128,rtp://238.125.4.128:5140
4-129,rtp://238.125.4.129:5140
4-130,rtp://238.125.4.130:5140
4-131,rtp://238.125.4.131:5140
4-132,rtp://238.125.4.132:5140
4-133,rtp://238.125.4.133:5140
4-137,rtp://238.125.4.137:5140
4-138,rtp://238.125.4.138:5140
4-140,rtp://238.125.4.140:5140
4-141,rtp://238.125.4.141:5140
4-142,rtp://238.125.4.142:5140
4-146,rtp://238.125.4.146:5140
4-151,rtp://238.125.4.151:5140
4-152,rtp://238.125.4.152:5140
4-153,rtp://238.125.4.153:5140
4-155,rtp://238.125.4.155:5140
4-158,rtp://238.125.4.158:5140
4-160,rtp://238.125.4.160:5140
4-161,rtp://238.125.4.161:5140
4-162,rtp://238.125.4.162:5140
