云南电信-组播1,#genre#
玉溪澄江HD,http://106.57.0.246:55555/udp/239.200.201.196:8548
玉溪红塔HD,http://106.57.0.246:55555/udp/239.200.200.211:8540
玉溪通海HD,http://106.57.0.246:55555/udp/239.200.201.192:8552
保山施甸HD,http://106.57.0.246:55555/udp/239.200.201.83:8278
保山隆阳HD,http://106.57.0.246:55555/udp/239.200.201.94:8258
保山龙陵HD,http://106.57.0.246:55555/udp/239.200.201.55:8270
昭通3HD,http://106.57.0.246:55555/udp/239.200.200.164:8152
昭通大关HD,http://106.57.0.246:55555/udp/239.200.200.208:8190
昭通威信HD,http://106.57.0.246:55555/udp/239.200.200.226:8214
昭通彝良SD,http://106.57.0.246:55555/udp/239.200.200.175:8360
昭通盐津HD,http://106.57.0.246:55555/udp/239.200.200.203:8198
昭通绥江县HD,http://106.57.0.246:55555/udp/239.200.200.189:8206
丽江华坪HD,http://106.57.0.246:55555/udp/239.200.201.201:8421
丽江永胜HD,http://106.57.0.246:55555/udp/239.200.200.157:8416
普洱墨江HD,http://106.57.0.246:55555/udp/239.200.201.200:8440
普洱孟连HD,http://106.57.0.246:55555/udp/239.200.201.163:8460
普洱宁洱HD,http://106.57.0.246:55555/udp/239.200.201.153:8436
普洱思茅区HD,http://106.57.0.246:55555/udp/239.200.200.182:8432
普洱景东HD,http://106.57.0.246:55555/udp/239.200.200.180:8444
普洱景谷县HD,http://106.57.0.246:55555/udp/239.200.200.185:8448
普洱江城HD,http://106.57.0.246:55555/udp/239.200.201.165:8456
普洱澜沧HD,http://106.57.0.246:55555/udp/239.200.201.162:8464
普洱电视HD,http://106.57.0.246:55555/udp/239.200.200.138:8804
普洱综合HD,http://106.57.0.246:55555/udp/239.200.200.126:8800
普洱西盟HD,http://106.57.0.246:55555/udp/239.200.201.149:8468
普洱镇沅HD,http://106.57.0.246:55555/udp/239.200.201.160:8452
临沧2HD,http://106.57.0.246:55555/udp/239.200.200.139:8904
临沧临翔HD,http://106.57.0.246:55555/udp/239.200.201.24:8486
临沧云县SD,http://106.57.0.246:55555/udp/239.200.201.10:8518
临沧凤庆SD,http://106.57.0.246:55555/udp/239.200.201.23:8498
临沧双江HD,http://106.57.0.246:55555/udp/239.200.201.20:8550
临沧永德HD,http://106.57.0.246:55555/udp/239.200.201.22:8510
临沧沧源SD,http://106.57.0.246:55555/udp/239.200.201.19:8534
临沧综合HD,http://106.57.0.246:55555/udp/239.200.200.140:8900
临沧耿马HD,http://106.57.0.246:55555/udp/239.200.201.18:8542
临沧镇康HD,http://106.57.0.246:55555/udp/239.200.201.21:8526
楚雄元谋SD,http://106.57.0.246:55555/udp/239.200.201.59:8782
楚雄双柏HD,http://106.57.0.246:55555/udp/239.200.201.17:8734
楚雄大姚HD,http://106.57.0.246:55555/udp/239.200.201.16:8766
楚雄姚安HD,http://106.57.0.246:55555/udp/239.200.201.134:8324
楚雄新闻频道,http://106.57.0.246:55555/rtp/239.200.200.116:8708
楚雄武定HD,http://106.57.0.246:55555/udp/239.200.201.117:8328
楚雄永仁县HD,http://106.57.0.246:55555/udp/239.200.201.76:8814
红河个旧HD,http://106.57.0.246:55555/udp/239.200.201.87:8248
红河建水HD,http://106.57.0.246:55555/udp/239.200.200.158:8758
红河开远HD,http://106.57.0.246:55555/udp/239.200.201.88:8252
红河弥勒HD,http://106.57.0.246:55555/udp/239.200.201.132:8380
红河河口HD,http://106.57.0.246:55555/udp/239.200.200.177:8408
红河泸西HD,http://106.57.0.246:55555/udp/239.200.201.118:8392
红河红河县HD,http://106.57.0.246:55555/udp/239.200.201.166:8400
红河蒙自HD,http://106.57.0.246:55555/udp/239.200.201.148:8376
红河金平HD,http://106.57.0.246:55555/udp/239.200.201.131:8404
文山富宁HD,http://106.57.0.246:55555/udp/239.200.201.140:8492
文山广南HD,http://106.57.0.246:55555/udp/239.200.201.191:8488
文山综合HD,http://106.57.0.246:55555/udp/239.200.200.124:8650
文山西畴HD,http://106.57.0.246:55555/udp/239.200.201.82:8662
文山马关HD,http://106.57.0.246:55555/udp/239.200.201.93:8256
文山麻栗坡HD,http://106.57.0.246:55555/udp/239.200.201.190:8480
大理云龙HD,http://106.57.0.246:55555/udp/239.200.200.162:8336
大理剑川HD,http://106.57.0.246:55555/udp/239.200.201.115:8390
大理南涧HD,http://106.57.0.246:55555/udp/239.200.200.159:8398
大理宾川HD,http://106.57.0.246:55555/udp/239.200.201.107:8350
大理巍山HD,http://106.57.0.246:55555/udp/239.200.201.147:8508
大理市电视HD,http://106.57.0.246:55555/udp/239.200.200.137:8512
大理弥渡HD,http://106.57.0.246:55555/udp/239.200.200.160:8342
大理文旅HD,http://106.57.0.246:55555/udp/239.200.201.3:8302
大理永平HD,http://106.57.0.246:55555/udp/239.200.201.108:8358
大理洱源HD,http://106.57.0.246:55555/udp/239.200.201.161:8374
大理漾濞县HD,http://106.57.0.246:55555/udp/239.200.200.190:8516
大理玉龙县HD,http://106.57.0.246:55555/udp/239.200.201.78:8244
大理祥云HD,http://106.57.0.246:55555/udp/239.200.201.169:8496
大理综合HD,http://106.57.0.246:55555/udp/239.200.201.4:8298
大理鹤庆HD,http://106.57.0.246:55555/udp/239.200.200.161:8382
德宏盈江县HD,http://106.57.0.246:55555/udp/239.200.201.46:8104
德宏综合HD,http://106.57.0.246:55555/udp/239.200.200.122:8608
德宏芒市HD,http://106.57.0.246:55555/udp/239.200.200.127:8616
德宏陇川HD,http://106.57.0.246:55555/udp/239.200.200.150:8650
迪庆综合HD,http://106.57.0.246:55555/udp/239.200.200.118:8440
迪庆藏语HD,http://106.57.0.246:55555/udp/239.200.200.149:8441

CCTV高尔夫网球,http://106.57.0.246:55555/rtp/239.200.200.89:8024
CGTN纪录,http://106.57.0.246:55555/udp/239.200.201.183:4220
CGTN西班牙语,http://106.57.0.246:55555/udp/239.200.201.184:4220
CGTN阿拉伯语,http://106.57.0.246:55555/udp/239.200.201.186:4220
channel VHD,http://106.57.0.246:55555/udp/239.200.200.131:8888
中华特产SD,http://106.57.0.246:55555/udp/239.200.201.155:8124
书法频道SD,http://106.57.0.246:55555/udp/239.200.201.133:8072
优优宝贝SD,http://106.57.0.246:55555/udp/239.200.201.173:8644
内蒙卫视,http://106.57.0.246:55555/rtp/239.200.200.57:8296
华数电影1,http://106.57.0.246:55555/udp/239.200.200.77:9016
华数电影2,http://106.57.0.246:55555/udp/239.200.200.73:9024
华数电视剧1,http://106.57.0.246:55555/rtp/239.200.200.72:9020
华数电视剧2,http://106.57.0.246:55555/udp/239.200.200.74:9012
华数电视剧3,http://106.57.0.246:55555/udp/239.200.200.11:8072
